Cement Amount  (kg/m³),CaO_C,SiO2_C,Al2O3_C,Sp.Gr_C,Silica Fume (kg/m³),CaO_SF,SiO2_SF,Al2O3_SF,Sp.Gr_SF,Flayash Amount   (kg/m³),CaO_FA,SiO2_FA,Al2O3_FA,Sp.Gr_FA,Limestone Powder  (kg/m3),CaO_LP,SiO2_LP,Al2O3_LP,Sp.Gr_LP,Quartzpowder (kg/m3),CaO_QP,SiO2_QP,Al2O3_QP,Sp.Gr_QP,Glass powder (kg/m3),CaO_GP,SiO2_GP,Al2O3_GP,Rice husk ash (kg/m3),CaO_RH,SiO2_RH,Al2O3_RH,Sp.Gr_RH,Metakaolin (kg/m³),CaO_MK,SiO2_MK,Al2O3_MK,Sp.Gr_MK,GGBFS  (kg/m³),CaO_GGBFS,SiO2_GGBFS,Al2O3_GGBFS,Sp.Gr_GGBFS,Slag Amount   (kg/m³),CaO_S,SiO2_S,Al2O3_S,Sp.Gr_S,Filler (kg/m³),Type of Filler,Sand Amount  (kg/m³),Max Size (mm),d50 _(mm),Type of Fiber,Amount / Quantity of Fiber,Length (mm),Diameter (mm),Synergetic Type of Fiber,Amount / Quantity of Fiber .1,Length (mm).1,Diameter (mm).1,Water _Amount  _(kg/m³),Superplasticizer  Amount  (kg/m³),Curing,Temperature (o C),Specimen Size
800.0,62.0,20.9,4.6,3.14,165.0,0.4,93.6,1.3,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.4984183673469388,99.01520737327186,0.2273469387755102,2.694193548387096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,886.0,4.0,0.0,1,150.0,10.0,0.15,0,0.0,0,0.0,190.0,32.0,1,90.0,7
863.0,63.19232142857143,20.94610227272727,4.926579545454546,3.095097159940209,216.0,0.6184246823956443,94.77242156074014,0.6051049504950495,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,913.0,5.0,0.0,1,156.0,13.0,0.2,0,0.0,0,0.0,151.0,10.8,0,20.0,1
500.0,62.6,21.35,4.67,3.1,150.0,1.2,91.2,2.22,2.26,350.0,4.7,54.11,26.51,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,2,720.0,3.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,175.0,9.8,0,20.0,0
640.0,62.6,18.4,4.1,3.11,214.0,0.27,93.95,0.21,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1170.0,9.0,0.0,8,145.0,8.0,0.2,0,0.0,0,0.0,135.0,37.5,3,80.0,8
1280.0,64.15,20.11,5.07,3.15,320.0,0.6184246823956443,95.25,0.6051049504950495,2.24,292.0,22.7,36.73,21.49,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,0.6,0,0.0,0.0,0.0,0,0.0,0,0.0,320.0,35.37,1,90.0,9
498.0,62.92,20.1,5.62,3.095097159940209,141.0,0.49,92.26,0.89,2.264394973070018,249.0,27.0,42.1,19.4,2.5021542857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,34.2,39.66,12.94,2.897951807228916,0.0,0.0,0.0,0.0,0.0,0.0,0,1058.0,7.0,0.0,4,234.0,6.0,0.15,0,0.0,0,0.0,151.0,33.0,0,20.0,7
625.1,63.19232142857143,20.94610227272727,4.926579545454546,3.095097159940209,104.2,1.68,95.06,0.32,2.3,312.6,7.68,53.25,26.88,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1041.9,9.0,0.0,1,98.1,13.0,0.22,1,3.0,3,0.2,166.7,16.8,2,85.0,10
562.0,65.6,22.0,3.5,2.73,208.0,0.4,99.8,0.11,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,11.3,73.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,899.0,4.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,227.0,20.4,4,23.0,1
890.0,64.3,22.3,3.4,3.15,169.0,0.3,96.9,0.2,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1059.0,4.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,180.0,59.0,5,90.0,1
595.0,62.9,21.0,4.2,3.095097159940209,198.0,0.3,97.0,0.7,2.264394973070018,0.0,0.0,0.0,0.0,0.0,298.0,58.7,0.4,0.5255949367088609,2.6236363636363644,278.0,1.37,97.7,0.5,2.694193548387096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,873.0,1.0,0.52,1,162.0,13.0,0.2,0,0.0,0,0.0,191.0,10.0,0,30.0,1
960.0,64.48,21.41,5.43,3.095097159940209,288.0,1.5,96.3,0.54,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,960.0,4.0,0.44,9,156.0,13.0,0.2,0,0.0,0,0.0,224.64,24.96,0,22.0,0
823.0,65.6,22.0,3.5,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.38,99.8,0.09,2.73,229.0,11.3,73.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,987.0,4.0,0.25,0,0.0,0.0,0.0,0,0.0,0,0.0,199.0,13.0,6,90.0,1
700.0,64.9,19.9,4.42,3.095097159940209,230.0,0.49,92.26,0.89,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,34.2,39.66,12.94,2.897951807228916,0.0,0.0,0.0,0.0,0.0,0.0,0,500.0,3.0,0.0,10,4.85,18.0,0.025,3,4.0,3,0.2,230.0,45.0,0,23.0,7
963.86,69.02,24.33,2.07,3.095097159940209,96.39,0.6184246823956443,96.5,0.6051049504950495,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.02,0.4984183673469388,97.0,0.2273469387755102,2.694193548387096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1031.33,11.0,0.0,2,67.47,10.0,0.16,0,0.0,0,0.0,192.77,48.19,0,20.0,3
960.0,59.25,24.86,3.74,3.095097159940209,0.0,0.0,0.0,0.0,0.0,250.0,3.08,55.656399999999955,22.87,2.5021542857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,960.0,12.0,0.0,11,192.0,13.0,0.18,0,0.0,0,0.0,211.0,28.0,0,20.0,11
640.0,62.6,18.4,4.1,3.11,214.0,0.59,94.49,0.41,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1170.0,9.0,0.0,8,145.0,16.0,0.2,0,0.0,0,0.0,135.0,37.5,3,80.0,8
788.5,61.33,21.01,6.4,3.15,197.1,0.38,96.0,0.25,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.6,5,867.4,3.0,0.25,1,158.0,13.0,0.2,0,0.0,0,0.0,160.3,52.6,2,90.0,1
920.0,54.6,23.7,8.33,3.095097159940209,230.0,0.6184246823956443,96.0,0.6051049504950495,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1150.0,8.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,207.0,17.25,7,25.0,0
890.0,64.3,22.3,3.4,3.15,178.0,0.3,96.9,0.2,2.264394973070018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,939.0,4.0,0.0,1,119.0,13.0,0.2,0,0.0,0,0.0,214.0,50.0,0,0.0,3
